text,type,start,end,method,article_url,article_domain,context
Japan,LOCATION,54,59,simple,https://www.boj.or.jp/research/brp/fsr/fsr250423.htm,boj.or.jp,[UNTRANSLATED] 金融システムレポート （ 2025年4月号 ） : 日本銀行 Bank of Japan
G20,ORGANIZATION,23,26,simple,https://www.fnnews.com/news/202504241525425186,fnnews.com,[UNTRANSLATED] 최상목 부총리 G20 계기 연쇄 외교 …  다자무역 · 디지털 협력 확대  
La Guardia,PERSON,15,25,simple,https://www.ottopagine.it/av/cronaca/389153/la-guardia-di-finanza-di-avellino-scopre-e-sequestra-un-autolavaggio-abusivo.shtml,ottopagine.it,[UNTRANSLATED] La Guardia di finanza di Avellino scopre e sequestra un autolavaggio abusivo
Rio Grande,PERSON,126,136,simple,https://g1.globo.com/rn/rio-grande-do-norte/noticia/2025/04/22/refis-prefeitura-de-natal-2025.ghtml,g1.globo.com,[UNTRANSLATED] Refis : Prefeitura de Natal oferece desconto de até 100 % em juros para pagamento de dívidas com o município | Rio Grande do Norte
Anjo Dourado,PERSON,92,104,simple,https://social1.ne10.uol.com.br/noticias/2025/04/21/chave-da-sorte-gira-a-favor-de-3-signos-no-amor-e-nas-financas-pelas-maos-do-anjo-dourado.html,social1.ne10.uol.com.br,[UNTRANSLATED] Chave da sorte gira a favor de 3 signos no amor e nas finanças pelas mãos do Anjo Dourado
Wellington,LOCATION,63,73,simple,https://www.midianews.com.br/politica/tradings-sao-chamadas-de-gigolos-wellington-vai-cobrar-o-bc/492639,midianews.com.br,[UNTRANSLATED] MidiaNews | Tradings são chamadas de  gigolôs ; Wellington vai cobrar o BC
Vatican,LOCATION,26,33,simple,https://veja.abril.com.br/economia/a-crise-no-vaticano-que-pode-estourar-nas-maos-do-sucessor-de-francisco/,veja.abril.com.br,[UNTRANSLATED] A crise no Vaticano que pode estourar nas mãos do ... 
ABC,ORGANIZATION,15,18,simple,https://www.morningstar.com/stocks/xnys/abcb/quote,morningstar.com,[UNTRANSLATED] ABCB Stock Price Quote | Morningstar
Stock Price Quote,PERSON,20,37,simple,https://www.morningstar.com/stocks/xnys/abcb/quote,morningstar.com,[UNTRANSLATED] ABCB Stock Price Quote | Morningstar
Trump Seeks Reintroduction,PERSON,24,50,simple,https://www.pymnts.com/news/banking/2025/report-trump-seeks-reintroduction-of-cannabis-banking-bill/,pymnts.com,[UNTRANSLATED] Report : Trump Seeks Reintroduction of Cannabis Banking Bill
Lebanese Finance Minister,PERSON,15,40,simple,https://www.lbcgroup.tv/news/economy/850611/lebanese-finance-minister-hails-parliamentary-backing-for-banking-secr/en,lbcgroup.tv,[UNTRANSLATED] Lebanese Finance Minister hails parliamentary backing for banking secrecy passage
Arvest Bank,ORGANIZATION,42,53,simple,http://www.newson6.com/story/680b7908f645cb1bd816a47d/arvest-online-banking-outage,newson6.com,[UNTRANSLATED] 4 things to know about the Arvest Bank online and mobile banking outage
Stock Price Quote,PERSON,20,37,simple,https://www.morningstar.com/stocks/xnas/mbin/quote,morningstar.com,[UNTRANSLATED] MBIN Stock Price Quote | Morningstar
La Croix,PERSON,22,30,simple,https://www.estrepublicain.fr/social/2025/04/19/la-croix-rouge-fait-face-a-une-augmentation-inedite-de-beneficiaires-dans-un-climat-de-precarite-grandissant,estrepublicain.fr,[UNTRANSLATED] Toul . La Croix - Rouge fait face à une augmentation inédite de bénéficiaires dans un climat de précarité grandissant
