text,type,start,end,method,article_url,article_domain,context
Energy Group,ORGANIZATION,108,120,simple,https://www.trend.az/business/4035869.html,trend.az,[UNTRANSLATED] Развитие логистических коридоров через Азербайджан способствует росту торговли с Азией - AGB Energy Group
Fit Cisl,PERSON,49,57,simple,https://www.salernonotizie.it/2025/04/26/pochi-bus-nei-festivi-a-salerno-fit-cisl-servizio-carente-per-frammentazione-gestione/,salernonotizie.it,"[UNTRANSLATED] Pochi bus nei festivi a Salerno , Fit Cisl :  Servizio carente per frammentazione gestione  "
Lady Gaga,PERSON,15,24,simple,https://extra.globo.com/rio/noticia/2025/04/lady-gaga-de-busao-0800-movimento-pede-onibus-gratuitos-para-chegar-ao-show-em-copacabana.ghtml,extra.globo.com,[UNTRANSLATED] Lady Gaga de Busão 0800 : movimento pede ônibus gratuitos para chegar ao show em Copacabana
Oscar Niemeyer,PERSON,62,76,simple,https://radios.ebc.com.br/revista-brasil/2025/04/brasilia-65-anos-ouca-arquiteto-da-equipe-de-oscar-niemeyer,radios.ebc.com.br,[UNTRANSLATED] Brasília 65 anos : ouça arquiteto da equipe de Oscar Niemeyer
Circular Praias,PERSON,65,80,simple,https://infonet.com.br/noticias/cidade/vandalismo-interrompe-circulacao-de-linha-de-onibus-circular-praias-1/,infonet.com.br,[UNTRANSLATED] Vandalismo interrompe circulao de linha de ônibus Circular Praias 1
Silver Recovery Service,PERSON,15,38,simple,https://www.openpr.com/news/3982149/silver-recovery-service-market-size-analysis-by-application,openpr.com,"[UNTRANSLATED] Silver Recovery Service Market Size Analysis by Application , "
Market Size Analysis,PERSON,39,59,simple,https://www.openpr.com/news/3982149/silver-recovery-service-market-size-analysis-by-application,openpr.com,"[UNTRANSLATED] Silver Recovery Service Market Size Analysis by Application , "
Turret System Market,PERSON,15,35,simple,https://www.openpr.com/news/3981085/turret-system-market-a-breakdown-of-the-industry-by-region,openpr.com,[UNTRANSLATED] Turret System Market : A Breakdown of the Industry by Region
Models Aburra Valley,LOCATION,19,39,simple,https://www.wateronline.com/doc/epm-models-aburra-valley-sewerage-system-to-increase-flood-resilience-and-mitigate-climate-change-0001,wateronline.com,[UNTRANSLATED] EPM Models Aburra Valley Sewerage System To Increase Flood Resilience And Mitigate Climate Change
Sewerage System To,PERSON,40,58,simple,https://www.wateronline.com/doc/epm-models-aburra-valley-sewerage-system-to-increase-flood-resilience-and-mitigate-climate-change-0001,wateronline.com,[UNTRANSLATED] EPM Models Aburra Valley Sewerage System To Increase Flood Resilience And Mitigate Climate Change
And Mitigate Climate,PERSON,85,105,simple,https://www.wateronline.com/doc/epm-models-aburra-valley-sewerage-system-to-increase-flood-resilience-and-mitigate-climate-change-0001,wateronline.com,[UNTRANSLATED] EPM Models Aburra Valley Sewerage System To Increase Flood Resilience And Mitigate Climate Change
Kinshasa,LOCATION,15,23,simple,https://theconversation.com/kinshasa-sous-leau-comment-lurbanisation-aggrave-les-inondations-255264,theconversation.com,[UNTRANSLATED] Kinshasa sous leau : comment lurbanisation aggrave les inondations
Taoufik Kamil,PERSON,22,35,simple,https://www.lavieeco.com/au-royaume/scans/fnpi-taoufik-kamil-reconduit-a-la-presidence-pour-la-3e-fois/,lavieeco.com,"[UNTRANSLATED] FNPI : Taoufik Kamil reconduit à la présidence , pour la 3e fois"
Lima,LOCATION,43,47,simple,https://rpp.pe/lima/obras/corte-de-agua-en-lima-hoy-25-de-abril-distritos-y-horarios-afectados-noticia-1630684,rpp.pe,[UNTRANSLATED] SEDAPAL : Corte de Agua hoy Lima y distritos 25 de abril del 2025
Lima,LOCATION,43,47,simple,https://rpp.pe/lima/obras/corte-de-agua-en-lima-hoy-24-de-abril-distritos-y-horarios-afectados-noticia-1630445,rpp.pe,[UNTRANSLATED] SEDAPAL : Corte de Agua hoy Lima y distritos 24 de abril del 2025
Lima,LOCATION,43,47,simple,https://rpp.pe/lima/obras/corte-de-agua-en-lima-hoy-23-de-abril-distritos-y-horarios-afectados-noticia-1630176,rpp.pe,[UNTRANSLATED] SEDAPAL : Corte de Agua hoy Lima y distritos 23 de abril del 2025
