text,type,start,end,method,article_url,article_domain,context
La Banque,PERSON,15,24,simple,https://lemagazinedumanager.com/27378-la-banque-mondiale-projette-une-croissance-moyenne-entre-35-et-43-de-2025-a-2026-2027-en-afrique-subsaharienne.html,lemagazinedumanager.com,"[UNTRANSLATED] La Banque mondiale projette une croissance moyenne entre « 3 , 5 et 4 , 3 %» de 2025 à 2026 - 2027 en Afrique subsaharienne – Le Magazine du Manager"
Le Magazine,PERSON,141,152,simple,https://lemagazinedumanager.com/27378-la-banque-mondiale-projette-une-croissance-moyenne-entre-35-et-43-de-2025-a-2026-2027-en-afrique-subsaharienne.html,lemagazinedumanager.com,"[UNTRANSLATED] La Banque mondiale projette une croissance moyenne entre « 3 , 5 et 4 , 3 %» de 2025 à 2026 - 2027 en Afrique subsaharienne – Le Magazine du Manager"
Maroc Telecom,PERSON,43,56,simple,https://www.yabiladi.com/articles/details/164786/resultats-financiers-maroc-telecom-soutenus.html,yabiladi.com,[UNTRANSLATED] Les résultats financiers de Maroc Telecom soutenus par ses filiales en Afrique
Trade Atlas,PERSON,15,26,simple,https://www.finanza.com/finanza-personale/trade-atlas-2025-come-italia-affronta-dazi-trump,finanza.com,[UNTRANSLATED] Trade Atlas 2025 : come lItalia sta affrontando i dazi di Trump
France,LOCATION,21,27,simple,https://www.ilmessaggero.it/vaticano/papa_francesco_successore_chi_sono_favoriti-8800913.html,ilmessaggero.it,"[UNTRANSLATED] ​Papa Francesco successore , Parolin favorito sul filippino Tagle : ecco tutti i papabili"
Papa Francesco,PERSON,16,30,simple,https://www.ilmessaggero.it/vaticano/papa_francesco_successore_chi_sono_favoriti-8800913.html,ilmessaggero.it,"[UNTRANSLATED] ​Papa Francesco successore , Parolin favorito sul filippino Tagle : ecco tutti i papabili"
India,LOCATION,41,46,simple,https://economictimes.indiatimes.com/industry/telecom/telecom-news/ericsson-sales-decline-in-india-for-5-straight-quarters/articleshow/120488190.cms,economictimes.indiatimes.com,[UNTRANSLATED] Ericsson sales decline in India for 5 straight quarters
Best Management Assignment,PERSON,17,43,simple,https://www.openpr.com/news/3978105/5-best-management-assignment-writing-service-providers,openpr.com,[UNTRANSLATED] 5 Best Management Assignment Writing Service Providers
Writing Service Providers,PERSON,44,69,simple,https://www.openpr.com/news/3978105/5-best-management-assignment-writing-service-providers,openpr.com,[UNTRANSLATED] 5 Best Management Assignment Writing Service Providers
Which Website,PERSON,15,28,simple,https://www.openpr.com/news/3981602/which-website-is-best-for-assignment-help-nidhi,openpr.com,[UNTRANSLATED] Which Website is Best for Assignment Help ? 
Assignment Help,PERSON,41,56,simple,https://www.openpr.com/news/3981602/which-website-is-best-for-assignment-help-nidhi,openpr.com,[UNTRANSLATED] Which Website is Best for Assignment Help ? 
Australia,LOCATION,43,52,simple,https://www.openpr.com/news/3981925/is-assignment-help-legal-in-australia,openpr.com,[UNTRANSLATED] Is Assignment Help Legal in Australia ? 
Is Assignment Help,PERSON,15,33,simple,https://www.openpr.com/news/3981925/is-assignment-help-legal-in-australia,openpr.com,[UNTRANSLATED] Is Assignment Help Legal in Australia ? 
Les Nominations,PERSON,15,30,simple,https://www.leral.net/Les-Nominations-en-Conseil-des-Ministres-de-ce-mercredi-23-Avril-2025_a380381.html,leral.net,[UNTRANSLATED] Les Nominations en Conseil des Ministres de ce mercredi 23 Avril 2025
