url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry,theme_id,theme_description,target_language,content_hash
https://railf.jp/event/2025/04/24/093000.html,,智頭急行 ，「 プレミアムハザ 」（ スーパーはくと  の前頭添乗体験 ） の参加者募集｜鉄道イベント｜2025年4月24日掲載｜鉄道ファン ・ railf . jp,20250424T051500Z,https://cdn3.railf.jp/img/sq400/1994/10/sqrf1994_10_hot7000.jpg,railf.jp,Japanese,Japan,RECRUITMENT,Recruitment and hiring,Japanese,8a178c424340f674d1776760b395ee72
https://www.fnnews.com/news/202504231414548968,https://www.fnnews.com/ampNews/202504231414548968,정원 동결에도 의대생 복귀 저조 … 학장들  원칙대로 유급  재확인,20250423T054500Z,https://image.fnnews.com/resource/media/image/2025/04/23/202504231414529830_l.jpg,fnnews.com,Korean,South Korea,RECRUITMENT,Recruitment and hiring,Korean,10e6c458c714bc2f1e06ba4d7729312c
https://biz.heraldcorp.com:443/article/10474431,,"  수험생이 실험용 쥐냐 ? 박터지는 의대입시 , 격정 토로 쏟아진다 [ 세상 &] ",20250427T080000Z,https://wimg.heraldcorp.com/news/cms/2025/04/27/news-p.v1.20250420.669497fc3aaa428a9a6a1b4084b35576_T1.jpg,biz.heraldcorp.com,Korean,South Korea,RECRUITMENT,Recruitment and hiring,Korean,38d94d2593ebc9661c5c88d9f48306ce
https://biz.heraldcorp.com/article/10474431,,"  수험생이 실험용 쥐냐 ? 박터지는 의대입시 , 격정 토로 쏟아진다 [ 세상 &] ",20250427T084500Z,https://wimg.heraldcorp.com/news/cms/2025/04/27/news-p.v1.20250420.669497fc3aaa428a9a6a1b4084b35576_T1.jpg,biz.heraldcorp.com,Korean,South Korea,RECRUITMENT,Recruitment and hiring,Korean,c055d9497044b3bdc81e17ca337cb743
https://www.newspim.com/news/view/20250425000257,https://m.newspim.com/newsamp/view/20250425000257,"  취업 포기 마세요 ... 당진시 , 청년도전지원사업 운영",20250425T024500Z,https://img.newspim.com/news/2025/04/25/2504250942340860.jpg,newspim.com,Korean,South Korea,RECRUITMENT,Recruitment and hiring,Korean,b612f4ce5f1f259d1285cfeb8e11b2ac
https://biz.heraldcorp.com:443/article/10473420,,유급에도  수업거부  꿈쩍 않는 의대생 … 먼저 만나자는 교육부 [ 세상 &] ,20250424T113000Z,https://wimg.heraldcorp.com/news/cms/2025/04/24/news-p.v1.20250417.3c428bf77aa640c398fad7278b9fcd93_T1.jpg,biz.heraldcorp.com,Korean,South Korea,RECRUITMENT,Recruitment and hiring,Korean,310b9170a70df6fb8e9aaf3544594288
https://biz.heraldcorp.com:443/article/10470327,,양보하니  총궐기집회  참여 의대생 … 부글부글 교육부  일단 기다린다  [ 세상 &] ,20250421T080000Z,https://wimg.heraldcorp.com/news/cms/2025/04/21/rcv.YNA.20250420.PYH2025042006550001301_T1.jpg,biz.heraldcorp.com,Korean,South Korea,RECRUITMENT,Recruitment and hiring,Korean,435c77c08e5c94a330ccc7ca1be638bd
https://www.informazionefiscale.it/Concorso-Agenzia-delle-Entrate-2025-assunzioni-bando-350-funzionari-scadenza,,Concorso Agenzia delle Entrate 2025 : bando per 350 funzionari,20250423T183000Z,https://www.informazionefiscale.it/IMG/arton19023.png,informazionefiscale.it,Italian,Italy,RECRUITMENT,Recruitment and hiring,Italian,a53847c12369459514b9da0902a77155
https://www.ilmessaggero.it:443/economia/schede/concorso_agenzia_entrate_assunzioni_funzionari_requisiti_domanda_come_fare-8794979.html,https://www.ilmessaggero.it/AMP/schede/economia/concorso_agenzia_entrate_assunzioni_funzionari_requisiti_domanda_come_fare-8794979.html,"Concorso Agenzia delle Entrate , bando assunzione 350 funzionari : requisiti , come candidarsi , scadenza domande",20250423T103000Z,https://statics.cedscdn.it/photos/MED/2025/04/23/8794979_23112135_onecms_1i43sp798otorw50ho7_yplrprjeo0.jpg,ilmessaggero.it,Italian,Italy,RECRUITMENT,Recruitment and hiring,Italian,fdb14b762bf2709222311059e64cbd52
https://www.ilmessaggero.it/economia/schede/concorso_agenzia_entrate_assunzioni_funzionari_requisiti_domanda_come_fare-8794979.html,https://www.ilmessaggero.it/AMP/schede/economia/concorso_agenzia_entrate_assunzioni_funzionari_requisiti_domanda_come_fare-8794979.html,"Concorso Agenzia delle Entrate , bando assunzione 350 funzionari : requisiti , come candidarsi , scadenza domande",20250423T104500Z,https://statics.cedscdn.it/photos/MED/2025/04/23/8794979_23112135_onecms_1i43sp798otorw50ho7_yplrprjeo0.jpg,ilmessaggero.it,Italian,Italy,RECRUITMENT,Recruitment and hiring,Italian,cf9ff27fc6c4c018ee4a19adbee2138f
https://www.veneziatoday.it/cronaca/ticket-accesso-150-verbali-non-multe.html,,"Ticket daccesso , già 150 verbali . « Abbiamo chiesto chiarimenti e ci hanno identificato » ",20250422T210000Z,https://www.veneziatoday.it/~media/horizontal-hi/15603842633/ticket-totem-calatrava.jpg,veneziatoday.it,Italian,Italy,RECRUITMENT,Recruitment and hiring,Italian,f0c8c847a820b37e8d2c0c08f10d4e4b
https://www.ilmessaggero.it:443/mondo/soldati_ucraini_stipendi_alti_bonus_mutuo_gratis_campagna_per_arruolare_esercito_ultime_notizie-8799107.html,https://www.ilmessaggero.it/AMP/mondo/soldati_ucraini_stipendi_alti_bonus_mutuo_gratis_campagna_per_arruolare_esercito_ultime_notizie-8799107.html,"Soldati ucraini tra stipendi alti , bonus , mutuo gratis per comprare casa . Ma la campagna di Kiev per arruolare giovani va a rilento",20250425T124500Z,https://statics.cedscdn.it/photos/MED_HIGH/2025/04/25/8799107_25125522_soldati_ucraini.jpg,ilmessaggero.it,Italian,Italy,RECRUITMENT,Recruitment and hiring,Italian,86abd88f4cad76c14f680a5cf56b72d8
https://www.lanazione.it/la-spezia/cronaca/urina-in-mezzo-alla-gente-i-carabinieri-denunciano-un-ventenne-6b291bcb,,"Urina in mezzo alla gente , i carabinieri denunciano un ventenne",20250422T233000Z,https://www.lanazione.it/image-service/view/acePublic/alias/contentid/MzBkOTc5OWQtMDFjOS00/0/carabinieri.jpeg,lanazione.it,Italian,Italy,RECRUITMENT,Recruitment and hiring,Italian,a98816489b1bbe72fc3f1d5b92cf0109
https://www.palermotoday.it/politica/le-regole-sulla-nomina-dei-revisori-negli-enti-locali-i-commercialisti-chiedono-modifiche-12486751.html,,"Regole sulla nomina dei revisori negli enti locali , i commercialisti chiedono modifiche",20250422T133000Z,https://www.palermotoday.it/~media/horizontal-hi/27327299572600/le-regole-sulla-nomina-dei-revisori-negli-enti-locali-i-commercialisti-chiedono-modifiche.jpg,palermotoday.it,Italian,Italy,RECRUITMENT,Recruitment and hiring,Italian,2970e302b4d3b4ab192971c4599f6c99
https://www.tusciaweb.eu/2025/04/guida-ebrezza-leffetto-droga-denunciate-cinque-persone/,,"Guida in stato di ebrezza e sotto leffetto di droga , denunciate cinque persone",20250425T084500Z,https://www.tusciaweb.eu/wp-content/uploads/2024/02/foto1-1.jpg,tusciaweb.eu,Italian,Italy,RECRUITMENT,Recruitment and hiring,Italian,69259e99fabbc140e7ef46ff5f836f1f
