url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry,keyword,target_language,content_hash
https://www.outdoorlife.com/gear/congress-calls-for-thermal-optics-investiagtion/,,Congress Investigates Chinese Thermal Optics Provider for Evading Weapons Sanctions,20250426T201500Z,https://www.outdoorlife.com/wp-content/uploads/2025/04/noc_pix_thermal.jpg,outdoorlife.com,English,United States,sanctions,English,718a729ff6f0573f4b182e686d2fcf72
https://truthout.org/articles/sanctions-dont-weaken-us-adversaries-but-they-do-enrich-oligarchs/,,Sanctions Dont Weaken US Adversaries But They Do Enrich Oligarchs,20250428T184500Z,https://truthout.org/app/uploads/2025/04/GettyImages-1212752097-scaled.jpg,truthout.org,English,United States,sanctions,English,a8be2077660fe57711bf48500303d0d6
https://www.rigzone.com/news/wire/gazprom_refiner_in_serbia_gets_fresh_reprieve_on_us_sanctions_vucic-28-apr-2025-180351-article/,,Gazprom Refiner in Serbia Gets Fresh Reprieve on US Sanctions : Vucic,20250428T074500Z,https://images.rigzone.com/images/news/articles/Gazprom-Refiner-in-Serbia-Gets-Fresh-Reprieve-on-US-Sanctions-Vucic-180351-1200x628.png,rigzone.com,English,United States,sanctions,English,a35ed64b1669f7a07ca7f03a34a8ae00
https://www.brecorder.com/news/40359705/serbias-nis-oil-firm-gets-new-sanctions-waiver-from-us,,Serbia NIS oil firm gets new sanctions waiver from US - Business & Finance,20250427T020000Z,,brecorder.com,English,Pakistan,sanctions,English,f8e637efea8d6682350d5a51da39d3e0
https://www.yahoo.com/news/republican-senator-calls-secondary-tariffs-000026051.html,,Republican senator calls for secondary tariffs on Russian energy buyers,20250427T013000Z,https://s.yimg.com/ny/api/res/1.2/9MM1gvHasW_jCbAysqQnNw--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://media.zenfs.com/en/kyiv_independent_articles_496/980486c7d751ff0df521c41291277ee2,yahoo.com,English,United States,sanctions,English,f6bc73ecea13c12f7568fe9d03f191eb
https://dailypost.ng/2025/04/27/trump-allows-russian-company-operate-refinery-despite-sanction-by-biden/,,Trump allows Russian company operate refinery despite sanction by Biden,20250427T061500Z,https://dailypost.ng/wp-content/uploads/2025/04/13trump-news-promo-0000-videoSixteenByNineJumbo1600.jpg,dailypost.ng,English,Nigeria,sanctions,English,4188cc117415a33b42f2bbd93f211883
https://www.sbs.com.au/news/article/trump-doubts-putin-is-willing-to-end-war-in-ukraine-and-threatens-sanctions/mddnbmatm,,"Trump doubts Putin willingness to end war in Ukraine , threatens sanctions",20250427T021500Z,http://sbs-au-brightspot.s3.amazonaws.com/2d/fe/7158acaa4656b4ac14ead2bfe4f8/20250426175325895957-original.jpg,sbs.com.au,English,Australia,sanctions,English,bf44e35ae73f0f84dff592ef003cabee
https://www.kyivpost.com/thread/51567,,Ukraine Breaking News Today Live on 04 - 28 - 2025,20250427T233000Z,https://static.kyivpost.com/storage/2024/01/26/f509aad63333fad3cff4a6071211dd92.png?&q=90&f=jpg,kyivpost.com,English,Ukraine,sanctions,English,d01756b9d0f8d4141e363084799c57eb
https://charter97.org/en/news/2025/4/27/638543/,https://qmt6jx.c97.org/en/news/2025/4/27/638543/,U . S . Issues Ultimatum To Russia Over Ukraine,20250427T091500Z,https://i.c97.org/ai/598344/aux-head-1718003645-20240606_l_grem_360.png,charter97.org,English,Belarus,sanctions,English,528d6c1198abde2beac43f055942257a
https://www.ksl.com:443/article/51298844/how-utahns-think-the-us-should-deal-with-russia-ukraine-war---,,How Utahns think the US should deal with Russia - Ukraine war,20250428T180000Z,https://img.ksl.com/slc/3081/308188/30818820.jpg?filter=kslv2/responsive_story_lg,ksl.com,English,United States,sanctions,English,a793bc7d834c8ac04e269509ea4d18f1
https://www.diariouno.com.ar/sociedad/puedo-cortar-el-arbol-del-vecino-si-sus-raices-estan-levantando-y-rompiendo-mi-vereda-n1425812,, ¿ Puedo cortar el árbol del vecino si sus raíces están levantando y rompiendo mi vereda ? ,20250426T214500Z,https://media.diariouno.com.ar/p/6b125032c06f4a1048eaec342859ff86/adjuntos/298/imagenes/009/538/0009538730/1200x675/smart/un-arbol-rompe-y-levanta-la-veredajpg.jpg,diariouno.com.ar,Spanish,Argentina,sanctions,Spanish,8f7e6dad355e251952d5dc5336992ed9
https://www.ecuavisa.com/noticias/seguridad/daniel-salcedo-carlos-angulo-la-roca-DF9241599,https://www.ecuavisa.com/amp/noticias/seguridad/daniel-salcedo-carlos-angulo-la-roca-DF9241599,Daniel Salcedo y Carlos Angulo son trasladados a Fiscalía por ingresar artículos prohibidos en La Roca,20250427T024500Z,https://www.ecuavisa.com/binrepository/1200x600/286c0/600d600/none/11705/LHVP/salcelo-portada-we_2159700_20250426194931.png,ecuavisa.com,Spanish,Ecuador,sanctions,Spanish,030d2d678010dbdfa67824b8a8638bf5
https://www.expreso.ec/actualidad/comision-justicia-aborda-reformas-codigo-penal-240520.html,,La Comisión de Justicia aborda reformas a Código Penal,20250428T043000Z,https://imagenes.expreso.ec/files/image_640_434/uploads/2025/04/27/680ec5477a64c.jpeg,expreso.ec,Spanish,Ecuador,sanctions,Spanish,9d464dda7082ca2a3ab2542556177a4a
https://www.expreso.com.mx/noticias/mexico/otro-estado-se-suma-a-prohibicion-de-narcocorridos/230597,https://www.expreso.com.mx/amp/noticias/mexico/otro-estado-se-suma-a-prohibicion-de-narcocorridos/230597,Otro estado se suma a prohibición de narcocorridos,20250427T030000Z,https://blob.expreso.com.mx/images/2025/04/26/feriao-1d452c82-focus-0-0-608-342.webp,expreso.com.mx,Spanish,Mexico,sanctions,Spanish,7dafa8b665988100d65cdde3e2bd9cc4
https://diario.mx/juarez/2025/apr/27/supera-los-obstaculos-desde-hace-39-anos-1063814.html,https://diario.mx/amp/juarez/2025/apr/27/supera-los-obstaculos-desde-hace-39-anos-1063814.html,Supera los obstáculos desde hace 39 años,20250428T120000Z,https://diario.mx/core/dmx/assets/images/2025/04/27/middle-untitled-1-xaZGDawR4.jpg,diario.mx,Spanish,Mexico,sanctions,Spanish,bd57669b3fe8ae5e0021dde7c0200b3f
https://www.diariouno.com.ar/sociedad/puedo-cortar-un-arbol-si-sus-raices-estan-levantando-y-rompiendo-mi-vereda-n1425812,, ¿ Puedo cortar un árbol si sus raíces están levantando y rompiendo mi vereda ? ,20250427T013000Z,https://media.diariouno.com.ar/p/6b125032c06f4a1048eaec342859ff86/adjuntos/298/imagenes/009/538/0009538730/1200x675/smart/un-arbol-rompe-y-levanta-la-veredajpg.jpg,diariouno.com.ar,Spanish,Argentina,sanctions,Spanish,af2743f1493d852b183981cb4df58c89
https://www.cuartopoder.mx/nacional/prohiben-narcocorridos-en-feria-de-la-ciudad-de-leon/531901,https://www.cuartopoder.mx/amp/nacional/prohiben-narcocorridos-en-feria-de-la-ciudad-de-leon/531901,Prohíben narcocorridos en feria de la ciudad de León,20250427T154500Z,https://blob.cuartopoder.mx/images/2025/04/27/a4-15.jpg,cuartopoder.mx,Spanish,Mexico,sanctions,Spanish,7e8d6449639e8fc92c63411eb12ce03f
