url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry,theme_id,theme_description,target_language,content_hash
https://itemlive.com/2025/04/22/if-disaster-hits-nahant-is-ready/,,"If disaster hits , Nahant is ready",20250423T011500Z,https://itemlive.com/wp-content/uploads/2022/07/Nahant-Town-Hall.jpg,itemlive.com,English,United States,DISASTER_FIRE,Fire disaster themes,English,afc3ab50f0fce5c4af271cef443f4ae1
https://pasoroblesdailynews.com/disaster-preparedness-course-offered-in-atascadero/210758/,,Disaster preparedness course offered in Atascadero,20250422T133000Z,https://eadn-wc05-13283899.nxedge.io/wp-content/uploads/2025/04/Screenshot-2025-04-21-at-1.12.12%E2%80%AFAM-600x483-1.png,pasoroblesdailynews.com,English,United States,DISASTER_FIRE,Fire disaster themes,English,10b6fb3a4d4eb083d9ecf922412cab3e
https://lahora.gt/nacionales/jzecena/2025/04/22/las-veces-que-el-papa-francisco-rezo-por-guatemala/,,Las veces que el Papa Francisco rezó por Guatemala,20250422T143000Z,https://lahora.gt/wp-content/uploads/sites/5/2025/04/rezo-por-Guatemala.jpg,lahora.gt,Spanish,Guatemala,DISASTER_FIRE,Fire disaster themes,Spanish,70b773088d35ed77b313805420c610ac
https://udn.com/news/story/7320/8700263,https://udn.com/news/amp/story/7320/8700263,影 ／ 疑2電動機車充電半夜竄火燒成骨架 高雄公寓12住戶急逃 | 社會萬象 | 社會,20250426T043000Z,https://uc.udn.com.tw/photo/2025/04/26/realtime/31930980.jpg,udn.com,Chinese,Taiwan,DISASTER_FIRE,Fire disaster themes,Chinese,c84390ca5ec0ecd65e90f8094546f35f
https://news.hangzhou.com.cn/gnxw/content/2025-04/24/content_8981362.htm,,大理洱源发生4 . 8级地震 无人伤亡 、 442户房屋受损,20250424T081500Z,,news.hangzhou.com.cn,Chinese,China,DISASTER_FIRE,Fire disaster themes,Chinese,23da24c9b27749e5c41b0be78ea58f32
http://news.cyol.com/gb/articles/2025-04/24/content_mOLV4mcVvx.html,,大理洱源发生4 . 8级地震 无人伤亡 、 442户房屋受损,20250424T041500Z,,news.cyol.com,Chinese,China,DISASTER_FIRE,Fire disaster themes,Chinese,20fad1b3cd9ab0f777b8ec2999a40aca
https://ent.ltn.com.tw/news/paper/1703886,https://ent.ltn.com.tw/amp/news/paper/1703886,紅包場歌后攜母帶子做慈善 今子嫣捐偏鄉500萬消防車,20250427T233000Z,https://img.ltn.com.tw/Upload/ent/page/800/2025/04/28/2.jpg,ent.ltn.com.tw,Chinese,Taiwan,DISASTER_FIRE,Fire disaster themes,Chinese,9cc11d2c3ea3b3bdb40da83a516f7f82
https://www.chinanews.com.cn/sh/2025/04-24/10404801.shtml,,大理洱源发生4 . 8级地震 无人伤亡 、 442户房屋受损 - 中新网,20250424T030000Z,,chinanews.com.cn,Chinese,China,DISASTER_FIRE,Fire disaster themes,Chinese,d4afa607d327485c93283492b91345a1
https://www.chinatimes.com/realtimenews/20250427001744-260404,,收入有限 、 愛心無限 ！「 慈善歌后 」 今子嫣捐500萬消防車贈偏鄉 - 娛樂,20250427T071500Z,https://images.chinatimes.com/newsphoto/2025-04-27/656/20250427001745.jpg,chinatimes.com,Chinese,Taiwan,DISASTER_FIRE,Fire disaster themes,Chinese,49555cd43e89e612782e06e361f09031
https://star.ettoday.net/news/2950611,https://star.ettoday.net/amp/amp_news.php7?news_id=2950611,被侯孝賢讚江湖奇女子 ！ 慈善歌后捐 「 全台首輛500萬消防車 」 給偏鄉 | ETtoday星光雲,20250427T083000Z,https://cdn2.ettoday.net/images/8191/e8191833.jpg,star.ettoday.net,Chinese,Taiwan,DISASTER_FIRE,Fire disaster themes,Chinese,557a8baba2033ce21a12f00c6da80e4a
