text,type,start,end,method,article_url,article_domain,context
BMW,ORGANIZATION,57,60,simple,https://www.obozrevatel.com/zhizn-stolitsyi/v-kieve-geroj-parkovki-pokinul-bmw-srazu-na-dvuh-mestah-dlya-lyudej-s-invalidnostyu-foto.htm,obozrevatel.com,[UNTRANSLATED] Герой парковки в Киеве – водитель оставил BMW сразу на двух местах для людей с инвалидностью – фото
France,LOCATION,22,28,simple,https://www.ilfattoquotidiano.it/2025/04/26/papa-francesco-si-e-battuto-per-valorizzare-le-persone-con-disabilita-senza-pietismo-e-abilismo/7965330/,ilfattoquotidiano.it,[UNTRANSLATED]   Papa Francesco si è battuto per valorizzare le persone con disabilità senza pietismo e abilismo  
Papa Francesco,PERSON,17,31,simple,https://www.ilfattoquotidiano.it/2025/04/26/papa-francesco-si-e-battuto-per-valorizzare-le-persone-con-disabilita-senza-pietismo-e-abilismo/7965330/,ilfattoquotidiano.it,[UNTRANSLATED]   Papa Francesco si è battuto per valorizzare le persone con disabilità senza pietismo e abilismo  
Buoni Servizio,PERSON,43,57,simple,https://www.foggiatoday.it/economia/avviso-buoni-servizio-2025-2026-regione-puglia.html,foggiatoday.it,"[UNTRANSLATED] Regione Puglia , avviso per Buoni Servizio 2025 / 2026 : "
Raul Gardini,PERSON,28,40,simple,https://www.ravennatoday.it/attualita/la-figlia-di-raul-gardini-visita-il-centro-ippico-che-aiuta-i-ragazzi-con-disabilita.html,ravennatoday.it,[UNTRANSLATED] La figlia di Raul Gardini visita il centro ippico che aiuta i ragazzi con disabilità
São Paulo,LOCATION,98,107,simple,https://www.estadao.com.br/brasil/vencer-limites/participacao-de-pessoas-com-deficiencia-torna-acessibilidade-mais-segura-no-metro-de-sao-paulo/,estadao.com.br,[UNTRANSLATED] Participao de pessoas com deficiência torna acessibilidade mais segura no metrô de São Paulo
Programa Nacional,PERSON,31,48,simple,https://www.camara.leg.br/noticias/1152327-comissao-aprova-programa-nacional-de-saude-bucal-da-pessoa-com-deficiencia/,camara.leg.br,[UNTRANSLATED] Comissão aprova Programa Nacional de Saúde Bucal da Pessoa com Deficiência - Notícias
CIA,ORGANIZATION,92,95,simple,https://www.dnoticias.pt/2025/4/24/446335-portugal-tem-desinvestido-na-proteccao-social-das-pessoas-com-deficiencia/,dnoticias.pt,[UNTRANSLATED] Portugal tem desinvestido na proteco social das pessoas com deficiência DNOTICIAS . PT
Portugal,LOCATION,15,23,simple,https://www.dnoticias.pt/2025/4/24/446335-portugal-tem-desinvestido-na-proteccao-social-das-pessoas-com-deficiencia/,dnoticias.pt,[UNTRANSLATED] Portugal tem desinvestido na proteco social das pessoas com deficiência DNOTICIAS . PT
Sierra Leone,LOCATION,33,45,simple,https://manilastandard.net/news/314583753/health-workers-in-sierra-leone-see-surge-in-mpox-cases.html,manilastandard.net,[UNTRANSLATED] Health workers in Sierra Leone see surge in mpox cases
India,LOCATION,25,30,simple,https://www.wboi.org/podcast/northeast-indiana-now/2025-04-22/northeast-indiana-now-april-22-2025,wboi.org,"[UNTRANSLATED] Northeast Indiana Now : April 22 , 2025"
Northeast Indiana Now,PERSON,15,36,simple,https://www.wboi.org/podcast/northeast-indiana-now/2025-04-22/northeast-indiana-now-april-22-2025,wboi.org,"[UNTRANSLATED] Northeast Indiana Now : April 22 , 2025"
Colombia Declares National,ORGANIZATION,34,60,simple,https://www.financecolombia.com/colombia-declares-national-yellow-fever-emergency-45-3-fatality-rate-already-reported-travel-restrictions-contemplated/,financecolombia.com,"[UNTRANSLATED] Finance Colombia » Colombia Declares National Yellow Fever Emergency , 45 . 3 % Fatality Rate Already Reported , Travel Restrictions Contemplated"
Colombia,LOCATION,23,31,simple,https://www.financecolombia.com/colombia-declares-national-yellow-fever-emergency-45-3-fatality-rate-already-reported-travel-restrictions-contemplated/,financecolombia.com,"[UNTRANSLATED] Finance Colombia » Colombia Declares National Yellow Fever Emergency , 45 . 3 % Fatality Rate Already Reported , Travel Restrictions Contemplated"
Yellow Fever Emergency,PERSON,61,83,simple,https://www.financecolombia.com/colombia-declares-national-yellow-fever-emergency-45-3-fatality-rate-already-reported-travel-restrictions-contemplated/,financecolombia.com,"[UNTRANSLATED] Finance Colombia » Colombia Declares National Yellow Fever Emergency , 45 . 3 % Fatality Rate Already Reported , Travel Restrictions Contemplated"
Fatality Rate Already,PERSON,95,116,simple,https://www.financecolombia.com/colombia-declares-national-yellow-fever-emergency-45-3-fatality-rate-already-reported-travel-restrictions-contemplated/,financecolombia.com,"[UNTRANSLATED] Finance Colombia » Colombia Declares National Yellow Fever Emergency , 45 . 3 % Fatality Rate Already Reported , Travel Restrictions Contemplated"
Grupo Milenio,PERSON,102,115,simple,https://www.milenio.com/ciencia-y-salud/importancia-de-la-inmunizacion-en-mexico-nuevos-casos-de-sarampion,milenio.com,[UNTRANSLATED] Importancia - de - la - inmunización - en - México - Nuevos - casos - de - sarampión - Grupo Milenio
Santa Fe,PERSON,110,118,simple,https://www.ellitoral.com/salud/despues-agua-potable-vacunacion-medida-eficaz-andrea-uboldi-salud-desercion-desconfianza-santa-fe_0_dj5kVsL6o9.html,ellitoral.com,[UNTRANSLATED]   La vacunación es la medida más eficaz : Uboldi advierte sobre deserción y nuevos desafíos en Santa Fe
Alfonso Rueda,PERSON,49,62,simple,https://www.lavozdegalicia.es/noticia/galicia/2025/04/24/rueda-apela-galicia-grande-frente-cerrazon-dos-do-non-vivienda-sanidad-igualdad-educacion-ciencia-cooperacion/0003_202504G24P2991.htm,lavozdegalicia.es,[UNTRANSLATED] Primer debate de la legislatura : Alfonso Rueda apela a una Galicia « en grande » frente a la cerrazón « dos do non » 
China,LOCATION,47,52,simple,https://www.chinapress.com.my/20250428/%E7%9C%8B%E5%A5%BD%E6%96%87%EF%BC%9A%E8%90%A5%E6%8E%A5%E5%81%A5%E5%BA%B7%EF%BD%9C%E5%85%A8%E6%B0%91%E9%BD%90%E6%8E%A5%E7%A7%8D%E7%96%AB%E8%8B%97-%E6%8B%92%E6%B5%81%E6%84%9F%E5%8D%83%E9%87%8C%E4%B9%8B/,chinapress.com.my,[UNTRANSLATED] 看好文 ： 营接健康｜全民接种疫苗 拒流感千里之外 | 中國報 China Press
China Press,PERSON,47,58,simple,https://www.chinapress.com.my/20250428/%E7%9C%8B%E5%A5%BD%E6%96%87%EF%BC%9A%E8%90%A5%E6%8E%A5%E5%81%A5%E5%BA%B7%EF%BD%9C%E5%85%A8%E6%B0%91%E9%BD%90%E6%8E%A5%E7%A7%8D%E7%96%AB%E8%8B%97-%E6%8B%92%E6%B5%81%E6%84%9F%E5%8D%83%E9%87%8C%E4%B9%8B/,chinapress.com.my,[UNTRANSLATED] 看好文 ： 营接健康｜全民接种疫苗 拒流感千里之外 | 中國報 China Press
Carson City,LOCATION,15,26,simple,https://www.carsonnow.org/04/23/2025/carson-city-has-lowest-march-metro-area-unemployment,carsonnow.org,[UNTRANSLATED] Carson City has lowest March metro area unemployment
China,LOCATION,15,20,simple,http://www.china.org.cn/china/2025-04/22/content_117838425.htm,china.org.cn,"[UNTRANSLATED] China prolongs policies to keep job market stable , enhance skills - China . org . cn"
China,LOCATION,15,20,simple,https://www.globalsecurity.org/wmd/library/news/china/2025/04/china-250423-pdo01.htm,globalsecurity.org,"[UNTRANSLATED] China prolongs policies to keep job market stable , enhance skills"
De Wever,PERSON,45,53,simple,https://www.lavenir.net/actu/belgique/politique/2025/04/24/voila-comment-le-gouvernement-de-wever-veut-reformer-le-chomage-DZAWQNH6KFCKBDMECJQJTVJ7QM/,lavenir.net,[UNTRANSLATED] Voilà comment le gouvernement De Wever veut réformer le chômage
Luxembourg,LOCATION,26,36,simple,https://www.lessentiel.lu/fr/story/luxembourg-le-chomage-en-hausse-de-71-sur-un-an-103329544,lessentiel.lu,"[UNTRANSLATED] Chômage au Luxembourg  : hausse de 7 , 1  % sur un an"
Pour Elio Di,PERSON,15,27,simple,https://www.lalibre.be/belgique/politique-belge/2025/04/24/pour-elio-di-rupo-la-limitation-du-chomage-dans-le-temps-pourrait-signifier-la-fin-du-pays-cest-le-debut-du-demantelement-de-la-securite-sociale-L2GRYH4E7JGTDIFRA7L7O5B4AY/,lalibre.be,"[UNTRANSLATED] Pour Elio Di Rupo , la limitation du chômage dans le temps  pourrait signifier la fin du pays :  Cest le début du démantèlement de la sécurité sociale"
Ecuador,LOCATION,36,43,simple,https://www.eluniverso.com/noticias/economia/tasa-desempleo-33-inec-ecuador-2025-nota/,eluniverso.com,"[UNTRANSLATED] Tasa de desempleo en Ecuador se ubicó en 3 , 3 %, según última encuesta del INEC"
