text,type,start,end,method,article_url,article_domain,context
In Piemonte,PERSON,15,26,simple,https://www.targatocn.it/2025/04/22/leggi-notizia/argomenti/attualita/articolo/in-piemonte-nove-appuntamenti-plastic-free-per-la-giornata-mondiale-della-terra-due-sono-in-granda.html,targatocn.it,[UNTRANSLATED] In Piemonte nove appuntamenti Plastic Free per la Giornata Mondiale della Terra : due sono in Granda
Plastic Free,PERSON,45,57,simple,https://www.targatocn.it/2025/04/22/leggi-notizia/argomenti/attualita/articolo/in-piemonte-nove-appuntamenti-plastic-free-per-la-giornata-mondiale-della-terra-due-sono-in-granda.html,targatocn.it,[UNTRANSLATED] In Piemonte nove appuntamenti Plastic Free per la Giornata Mondiale della Terra : due sono in Granda
Giornata Mondiale,PERSON,65,82,simple,https://www.targatocn.it/2025/04/22/leggi-notizia/argomenti/attualita/articolo/in-piemonte-nove-appuntamenti-plastic-free-per-la-giornata-mondiale-della-terra-due-sono-in-granda.html,targatocn.it,[UNTRANSLATED] In Piemonte nove appuntamenti Plastic Free per la Giornata Mondiale della Terra : due sono in Granda
Settimana Internazionale,PERSON,15,39,simple,https://www.meteogiornale.it/2025/04/magazine/settimana-internazionale-del-cielo-scuro-2025-i-10-spettacoli-celesti-da-non-perdere/,meteogiornale.it,[UNTRANSLATED] Settimana Internazionale del Cielo Scuro 2025 : i 10 spettacoli celesti da non perdere
Cielo Scuro,PERSON,44,55,simple,https://www.meteogiornale.it/2025/04/magazine/settimana-internazionale-del-cielo-scuro-2025-i-10-spettacoli-celesti-da-non-perdere/,meteogiornale.it,[UNTRANSLATED] Settimana Internazionale del Cielo Scuro 2025 : i 10 spettacoli celesti da non perdere
Papa Francisco,PERSON,28,42,simple,https://www.publico.pt/2025/04/21/sociedade/noticia/frases-papa-francisco-2123499,publico.pt,[UNTRANSLATED] As frases do Papa Francisco
Filipe Martins,PERSON,40,54,simple,https://correiodoestado.com.br/politica/moraes-rejeita-pedido-de-filipe-martins-para-circular-sem-restricoes/447028/,correiodoestado.com.br,[UNTRANSLATED] Moraes rejeita pedido de Filipe Martins para circular sem restries por Brasília
India,LOCATION,101,106,simple,https://timesofindia.indiatimes.com/city/kolkata/zsi-researchers-discover-2-new-spider-species-and-2-new-national-records-in-northeast-india/articleshow/120517271.cms,timesofindia.indiatimes.com,[UNTRANSLATED] ZSI researchers discover 2 new spider species and 2 new national records in Northeast India
Northeast India,PERSON,91,106,simple,https://timesofindia.indiatimes.com/city/kolkata/zsi-researchers-discover-2-new-spider-species-and-2-new-national-records-in-northeast-india/articleshow/120517271.cms,timesofindia.indiatimes.com,[UNTRANSLATED] ZSI researchers discover 2 new spider species and 2 new national records in Northeast India
Green Party,ORGANIZATION,15,26,simple,https://www.theargus.co.uk/news/25115903.green-party-mp-sian-berry-calls-weedkiller-ban-across-uk/,theargus.co.uk,[UNTRANSLATED] Green Party MP Sian Berry calls for weedkiller ban across united kingdom 
Sian Berry,PERSON,30,40,simple,https://www.theargus.co.uk/news/25115903.green-party-mp-sian-berry-calls-weedkiller-ban-across-uk/,theargus.co.uk,[UNTRANSLATED] Green Party MP Sian Berry calls for weedkiller ban across united kingdom 
Rattlesnake Venom Evolves,PERSON,15,40,simple,https://www.discovermagazine.com:443/planet-earth/rattlesnake-venom-evolves-and-adapts-to-climate-change,discovermagazine.com,[UNTRANSLATED] Rattlesnake Venom Evolves and Adapts to Climate Change
Climate Change,PERSON,55,69,simple,https://www.discovermagazine.com:443/planet-earth/rattlesnake-venom-evolves-and-adapts-to-climate-change,discovermagazine.com,[UNTRANSLATED] Rattlesnake Venom Evolves and Adapts to Climate Change
Rattlesnake Venom Evolves,PERSON,15,40,simple,https://www.discovermagazine.com/planet-earth/rattlesnake-venom-evolves-and-adapts-to-climate-change,discovermagazine.com,[UNTRANSLATED] Rattlesnake Venom Evolves and Adapts to Climate Change
Climate Change,PERSON,55,69,simple,https://www.discovermagazine.com/planet-earth/rattlesnake-venom-evolves-and-adapts-to-climate-change,discovermagazine.com,[UNTRANSLATED] Rattlesnake Venom Evolves and Adapts to Climate Change
England,LOCATION,50,57,simple,https://www.somersetlive.co.uk/news/uk-world-news/weedkillers-could-banned-across-england-10131567,somersetlive.co.uk,[UNTRANSLATED] Weedkillers could be banned across England to protect wildlife
Can Support Biodiversity,PERSON,39,63,simple,https://www.planetizen.com/news/2025/04/134818-study-how-urban-parks-can-support-biodiversity,planetizen.com,[UNTRANSLATED] Study : How Urban Parks Can Support Biodiversity
Congo,LOCATION,15,20,simple,https://fr.allafrica.com/stories/202504230577.html,fr.allafrica.com,[UNTRANSLATED] Congo - Brazzaville : 11e édition du festival de la biodiversité - Lappel aux artistes prend fin ce vendredi
Pass Rail,PERSON,25,34,simple,https://www.francetvinfo.fr/replay-radio/ca-dit-quoi/pass-rail-abandonne-loto-pour-la-biodiversite-critique-et-un-mondial-de-cheerleading-reve-ca-dit-quoi-ce-24-avril_7195497.html,francetvinfo.fr,"[UNTRANSLATED] PODCAST . Pass Rail abandonné , loto pour la biodiversité critiqué et un Mondial de cheerleading rêv : ça dit quoi ce 24 avril ? "
RT,ORGANIZATION,65,67,simple,https://afriquinfos.com/lancement-du-marche-pilote-de-lorganisation-des-certificats-de-biodiversite-obc-en-cote-divoire-une-etape-cle-pour-structurer-la-valorisation-du-vivant-en-cote-divoire/,afriquinfos.com,"[UNTRANSLATED] LANCEMENT DU MARCHÉ PILOTE DE LORGANISATION DES CERTIFICATS DE BIODIVERSITÉ , OBC , EN CÔTE DIVOIRE : Une étape clé pour structurer la valorisation du vivant en Côte dIvoire"
Pass Rail,PERSON,15,24,simple,https://www.radiofrance.fr/franceinfo/podcasts/ca-dit-quoi/pass-rail-abandonne-loto-pour-la-biodiversite-critique-et-un-mondial-de-cheerleading-reve-ca-dit-quoi-ce-24-avril-8736759,radiofrance.fr,"[UNTRANSLATED] Pass Rail abandonné , loto pour la biodiversité critiqué et un Mondial de cheerleading rêv : ça dit quoi ce 24 avril ? "
Congo,LOCATION,160,165,simple,https://www.adiac-congo.com/content/biodiversite-des-parties-prenantes-sapproprient-la-strategie-et-le-plan-daction-national,adiac-congo.com,[UNTRANSLATED] Biodiversité : des parties prenantes sapproprient la Stratégie et le Plan daction national | adiac - congo . com : toute lactualité du Bassin du Congo
Colombia,LOCATION,41,49,simple,https://www.vanguardia.com/mundo/ola-verde/2025/04/22/dia-de-la-tierra-como-colombia-contribuye-a-la-conservacion-de-la-biodiversidad-global/,vanguardia.com,[UNTRANSLATED] Día de la Tierra : ¿ cómo Colombia contribuye a la conservación de la biodiversidad global ? 
Fiduciaria Davivienda,PERSON,39,60,simple,https://www.pulzo.com/economia/davivienda-corredores-fiduciaria-davivienda-con-negocio-ganar-plata-PP4471794A,pulzo.com,[UNTRANSLATED] Davivienda Corredores y Fiduciaria Davivienda con negocio para ganar plata
Biodiversidad Pampeana,PERSON,40,62,simple,https://www.eldiariodelapampa.com.ar/la-pampa/54264/inician-relevamientos-de-biodiversidad-pampeana,eldiariodelapampa.com.ar,[UNTRANSLATED] Inician relevamientos de Biodiversidad Pampeana :: El Diario de La Pampa
