entity,type,count,num_sources,source_diversity,trust_score
In Piemonte,PERSON,1,1,1.0,0.12
Plastic Free,PERSON,1,1,1.0,0.12
Giornata Mondiale,PERSON,1,1,1.0,0.12
Settimana Internazionale,PERSON,1,1,1.0,0.12
Cielo Scuro,PERSON,1,1,1.0,0.12
Papa Francisco,PERSON,1,1,1.0,0.12
Filipe Martins,PERSON,1,1,1.0,0.12
India,LOCATION,1,1,1.0,0.12
Northeast India,PERSON,1,1,1.0,0.12
Green Party,ORGANIZATION,1,1,1.0,0.12
Sian Berry,PERSON,1,1,1.0,0.12
Rattlesnake Venom Evolves,PERSON,2,1,0.5,0.13999999999999999
Climate Change,PERSON,2,1,0.5,0.13999999999999999
England,LOCATION,1,1,1.0,0.12
Can Support Biodiversity,PERSON,1,1,1.0,0.12
Congo,LOCATION,2,2,1.0,0.24
Pass Rail,PERSON,2,2,1.0,0.24
RT,ORGANIZATION,1,1,1.0,0.12
Colombia,LOCATION,1,1,1.0,0.12
Fiduciaria Davivienda,PERSON,1,1,1.0,0.12
Biodiversidad Pampeana,PERSON,1,1,1.0,0.12
El Diario,PERSON,1,1,1.0,0.12
La Pampa,PERSON,1,1,1.0,0.12
La Esmeralda,PERSON,2,2,1.0,0.24
Santa Fe,PERSON,1,1,1.0,0.12
El Principado,PERSON,1,1,1.0,0.12
Naciones Unidas,PERSON,1,1,1.0,0.12
Llajta Viva,PERSON,1,1,1.0,0.12
Neusiedler See,PERSON,1,1,1.0,0.12
Roche,ORGANIZATION,1,1,1.0,0.12
Viele Haie,PERSON,1,1,1.0,0.12
Forstamt Hofbieber,PERSON,1,1,1.0,0.12
Termine Osthessen,PERSON,1,1,1.0,0.12
