text,type,start,end,method,article_url,article_domain,context
Wo Jobs,PERSON,34,41,simple,https://www.lvz.de/wirtschaft/regional/krise-in-sachsen-wo-jobs-verloren-gehen-und-welche-branchen-arbeitskraefte-suchen-L6Z2XH5YJFCMXJJUCVBZQPIPPA.html,lvz.de,[UNTRANSLATED] Krise in Sachsen : Wo Jobs verloren gehen - und welche Branchen Arbeitskräfte suchen
Mehr Menschen,PERSON,30,43,simple,https://www.zeit.de/news/2025-04/22/mehr-menschen-pendeln-zur-arbeit-in-andere-bundeslaender,zeit.de,[UNTRANSLATED] Arbeitsmarkt : Mehr Menschen pendeln zur Arbeit in andere Bundesländer
Die Mitte,PERSON,35,44,simple,https://www.freiewelt.net/nachricht/afd-prangert-an-die-mitte-zahlt-alles-und-wird-am-ende-nichts-mehr-haben-10100049/,freiewelt.net,[UNTRANSLATED] AfD prangert an : » Die Mitte zahlt alles und wird am Ende nichts mehr haben « 
Junge Schweizer,PERSON,30,45,simple,https://www.20min.ch/story/rekrutierung-militaer-im-kriegsfall-wuerde-ich-fuer-die-schweiz-an-die-front-gehen-103321483,20min.ch,[UNTRANSLATED] Rekrutierung : Junge Schweizer bereit für die Front ? 
Dl Pa,PERSON,93,98,simple,https://www.quotidianosanita.it/governo-e-parlamento/articolo.php,quotidianosanita.it,[UNTRANSLATED] Medici di famiglia in servizio fino a 71 anni . Sbarca in Aula alla Camera il Dl Pa
Fundao Calouste Gulbenkian,PERSON,102,128,simple,https://www.publico.pt/2025/04/21/culturaipsilon/noticia/gulbenkian-procura-novo-director-museu-antonio-filipe-pimentel-reformase-proximo-ano-2130527,publico.pt,[UNTRANSLATED] Gulbenkian procura novo director para o museu . Pimentel reforma - se no próximo ano | Fundao Calouste Gulbenkian
Albert Einstein,PERSON,45,60,simple,https://www.midianews.com.br/politica/mendes-assina-com-albert-einstein-para-gerir-hospital-em-mt/492448,midianews.com.br,[UNTRANSLATED] MidiaNews | Mendes assina com Albert Einstein para gerir hospital em MT
Ncos Debunks Fake,PERSON,15,32,simple,https://www.nairaland.com/8405140/ncos-debunks-fake-reports-bomb,nairaland.com,"[UNTRANSLATED] Ncos Debunks Fake Reports On Bomb Explosion , Kidnap Suspect - Politics"
Reports On Bomb,PERSON,33,48,simple,https://www.nairaland.com/8405140/ncos-debunks-fake-reports-bomb,nairaland.com,"[UNTRANSLATED] Ncos Debunks Fake Reports On Bomb Explosion , Kidnap Suspect - Politics"
Kidnap Suspect,PERSON,61,75,simple,https://www.nairaland.com/8405140/ncos-debunks-fake-reports-bomb,nairaland.com,"[UNTRANSLATED] Ncos Debunks Fake Reports On Bomb Explosion , Kidnap Suspect - Politics"
Ford,ORGANIZATION,57,61,simple,https://www.salisburyjournal.co.uk/news/25111055.boy-charged-reported-rape-girl-fordingbridge/,salisburyjournal.co.uk,[UNTRANSLATED] Boy charged over reported rape of girl in Fordingbridge
Ford,ORGANIZATION,54,58,simple,https://www.bournemouthecho.co.uk/news/25111106.three-boys-charged-raping-girl-fordingbridge/,bournemouthecho.co.uk,[UNTRANSLATED] Three boys charged with raping girl in Fordingbridge
Why Catholic,PERSON,15,27,simple,https://pidgin.informationng.com/,pidgin.informationng.com,[UNTRANSLATED] Why Catholic priests don become top targets for kidnappers ? 
Iran,LOCATION,15,19,simple,https://www.jpost.com/middle-east/iran-news/article-851620,jpost.com,[UNTRANSLATED] Iranian film of Benjamin Netanyahu kidnapping resurges online
Benjamin Netanyahu,PERSON,31,49,simple,https://www.jpost.com/middle-east/iran-news/article-851620,jpost.com,[UNTRANSLATED] Iranian film of Benjamin Netanyahu kidnapping resurges online
Talking Pictures,PERSON,24,40,simple,https://www.tvguide.co.uk/schedule/95e1d2eb-0218-5117-af23-0f664b6eb906/z-cars,tvguide.co.uk,[UNTRANSLATED] Z Cars - Talking Pictures TV
Holly Willoughby,PERSON,15,31,simple,https://www.dailyrecord.co.uk/entertainment/holly-willoughby-wont-retraumatised-sick-35127022,dailyrecord.co.uk,[UNTRANSLATED] Holly Willoughby wont be  retraumatised  by sick kidnap and murder plot as new details emerge
The Scarlet Blade,PERSON,15,32,simple,https://www.tvguide.co.uk/schedule/54e10968-3646-5442-9102-a2910619ca99/the-scarlet-blade,tvguide.co.uk,[UNTRANSLATED] The Scarlet Blade
Boko Haram,PERSON,89,99,simple,https://tamtaminfo.com/diffa-six-otages-liberes-a-kablewa-suite-a-une-operation-des-fds-contre-boko-haram/,tamtaminfo.com,[UNTRANSLATED] Diffa : Six otages libérés à Kablewa suite à une opération des FDS contre Boko Haram … 
France,LOCATION,103,109,simple,https://www.ladepeche.fr/2025/04/21/lucho-herrera-legende-colombienne-du-cyclisme-accuse-davoir-commandite-lassassinat-de-ses-voisins-12650331.php,ladepeche.fr,"[UNTRANSLATED]   Nous les avons égorgés et découpés … Une star du cyclisme , maillot à pois du Tour de France , accusée davoir commandité lassassinat de ses voisins"
Netflix,ORGANIZATION,36,43,simple,https://www.numerama.com/pop-culture/1958605-le-dome-de-verre-sur-netflix-a-ete-cree-par-une-autrice-que-vous-connaissez-bien.html,numerama.com,[UNTRANSLATED] Le Dôme de Verre sur Netflix a ét cr par une autrice que vous connaissez bien
Clint Eastwood,PERSON,41,55,simple,https://www.lepoint.fr/pop-culture/l-echange-le-film-de-clint-eastwood-qui-a-fait-entrer-angelina-jolie-dans-la-cour-des-grandes-actrices-27-04-2025-2588288_2920.php,lepoint.fr,[UNTRANSLATED]  L  Échange  : le film de Clint Eastwood qui a fait entrer Angelina Jolie dans la cour des grandes actrices
Angelina Jolie,PERSON,74,88,simple,https://www.lepoint.fr/pop-culture/l-echange-le-film-de-clint-eastwood-qui-a-fait-entrer-angelina-jolie-dans-la-cour-des-grandes-actrices-27-04-2025-2588288_2920.php,lepoint.fr,[UNTRANSLATED]  L  Échange  : le film de Clint Eastwood qui a fait entrer Angelina Jolie dans la cour des grandes actrices
Semana Santa,PERSON,58,70,simple,https://www.rionegro.com.ar/policiales/sociedad/multaron-a-pescadores-ilegales-en-el-sur-de-neuquen-donde-fue-el-operativo-que-secuestro-36-truchas-4095387/,rionegro.com.ar,"[UNTRANSLATED] Multas por pesca ilegal en Neuquén durante Semana Santa : secuestraron 36 truchas , dónde fue el operativo"
Lima,LOCATION,125,129,simple,https://larepublica.pe/sociedad/2025/04/23/camara-de-seguridad-capta-el-momento-en-que-delincuentes-asaltan-trailer-y-secuestran-al-chofer-en-cercado-de-lima-978121,larepublica.pe,[UNTRANSLATED] Cámara de seguridad capta el momento en que delincuentes asaltan tráiler y secuestran al chofer en Cercado de Lima | Sociedad
