text,type,start,end,method,article_url,article_domain,context
Mechanized Revolution,PERSON,50,71,simple,https://www.playground.ru/bonaparte_a_mechanized_revolution/news/stimpank_strategiya_bonaparte_a_mechanized_revolution_vyjdet_v_kontse_maya-1766564,playground.ru,[UNTRANSLATED] Стимпанк - стратегия Bonaparte - A Mechanized Revolution выйдет в конце мая
Robert Sarah,PERSON,21,33,simple,https://www.ilmattino.it/primopiano/vaticano/robert_sarah_chi_e_papabile_africano_anti_woke_conclave_conservatore_antiwoke-8801139.html,ilmattino.it,"[UNTRANSLATED] Chi è Robert Sarah , il papabile africano : anti - woke , conservatore , ha sfidato il progressismo di Bergoglio"
Robert Sarah,PERSON,34,46,simple,https://www.ilmessaggero.it/vaticano/chi_e_robert_sarah_cardinale_papabile_conclave_conservatore_antiwoke-8801095.html,ilmessaggero.it,[UNTRANSLATED] Chi è il cardinale Robert Sarah : il papabile conservatore che ha sfidato il progressismo di Bergoglio
France,LOCATION,88,94,simple,https://www.secoloditalia.it/2025/04/il-papa-della-vita-aborto-utero-in-affitto-gender-eutanasia-il-francesco-dimenticato-dalla-sinistra/,secoloditalia.it,"[UNTRANSLATED] Il Papa della vita : aborto , utero in affitto , gender , eutanasia . Il Francesco  dimenticato  dalla sinistra"
Il Papa,PERSON,15,22,simple,https://www.secoloditalia.it/2025/04/il-papa-della-vita-aborto-utero-in-affitto-gender-eutanasia-il-francesco-dimenticato-dalla-sinistra/,secoloditalia.it,"[UNTRANSLATED] Il Papa della vita : aborto , utero in affitto , gender , eutanasia . Il Francesco  dimenticato  dalla sinistra"
Il Francesco,PERSON,85,97,simple,https://www.secoloditalia.it/2025/04/il-papa-della-vita-aborto-utero-in-affitto-gender-eutanasia-il-francesco-dimenticato-dalla-sinistra/,secoloditalia.it,"[UNTRANSLATED] Il Papa della vita : aborto , utero in affitto , gender , eutanasia . Il Francesco  dimenticato  dalla sinistra"
Andrea Arnold,PERSON,70,83,simple,https://www.comingsoon.it/cinema/news/bird-il-trailer-italiano-ufficiale-del-nuovo-film-di-andrea-arnold/n200005/,comingsoon.it,[UNTRANSLATED] Bird : il trailer italiano ufficiale del nuovo film di Andrea Arnold
France,LOCATION,15,21,simple,https://www.ilmessaggero.it:443/editoriali/primopiano/papa_francesco_editoriale_messaggero-8799593.html,ilmessaggero.it,[UNTRANSLATED] Francesco e lambiguità dei valori occidentali
France,LOCATION,15,21,simple,https://www.ilmessaggero.it/editoriali/primopiano/papa_francesco_editoriale_messaggero-8799593.html,ilmessaggero.it,[UNTRANSLATED] Francesco e lambiguità dei valori occidentali
Caio Blat,PERSON,15,24,simple,https://tribunademinas.com.br/noticias/cultura/25-04-2025/caio-blat-2.html,tribunademinas.com.br,[UNTRANSLATED] Caio Blat participa de roda de conversa após exibio de  O debate  no Mercado Municipal
