text,type,start,end,method,article_url,article_domain,context
Hamas Quellislam,PERSON,29,45,simple,https://www.zazoom.it/2025-04-22/da-al-azhar-a-hamas-quellislam-sordo-agli-appelli-del-papa-contro-lestremismo/16818688/,zazoom.it,[UNTRANSLATED] Da al Azhar a Hamas Quellislam sordo agli appelli del Papa contro lestremismo
France,LOCATION,20,26,simple,https://www.tusciaweb.eu/2025/04/papa-francesco-vangelo-trenta-frasi/,tusciaweb.eu,"[UNTRANSLATED] Papa Francesco , il Vangelo incarnato in trenta frasi ... "
Papa Francesco,PERSON,15,29,simple,https://www.tusciaweb.eu/2025/04/papa-francesco-vangelo-trenta-frasi/,tusciaweb.eu,"[UNTRANSLATED] Papa Francesco , il Vangelo incarnato in trenta frasi ... "
Extinction Rebellion,PERSON,15,35,simple,https://www.ilfattoquotidiano.it/2025/04/25/extinction-rebellion-polizia-gruppo-ambientalista-violento-processi-attivisti/7964076/,ilfattoquotidiano.it,"[UNTRANSLATED] Extinction Rebellion , per la Polizia il gruppo ambientalista è  violento . Ma i processi agli attivisti finiscono in nulla"
Milan,LOCATION,17,22,simple,https://www.ilgiornale.it/news/politica/milano-sfila-lex-br-cartelli-contro-segre-e-fischi-sindaco-2470907.html,ilgiornale.it,[UNTRANSLATED] A Milano sfila lex Br . Cartelli contro la Segre e fischi al sindaco Sala
Interroga Governo,PERSON,18,35,simple,https://www.dn.pt/pol%C3%ADtica/ps-questiona-governo-sobre-apag%C3%A3o-de-cap%C3%ADtulo-sobre-extrema-direita-no-relat%C3%B3rio-de-seguran%C3%A7a-interna,dn.pt,[UNTRANSLATED] PS Interroga Governo : Capítulo Extrema - Direita Omitido no RASI 2024
Direita Omitido,PERSON,57,72,simple,https://www.dn.pt/pol%C3%ADtica/ps-questiona-governo-sobre-apag%C3%A3o-de-cap%C3%ADtulo-sobre-extrema-direita-no-relat%C3%B3rio-de-seguran%C3%A7a-interna,dn.pt,[UNTRANSLATED] PS Interroga Governo : Capítulo Extrema - Direita Omitido no RASI 2024
Israel,LOCATION,15,21,simple,https://www.politico.eu/article/israel-slams-spain-for-dropping-e6-million-ammunition-deal/,politico.eu,[UNTRANSLATED] Israel slams Spain for dropping €6 . 6M ammunition deal
Spain,LOCATION,28,33,simple,https://www.politico.eu/article/israel-slams-spain-for-dropping-e6-million-ammunition-deal/,politico.eu,[UNTRANSLATED] Israel slams Spain for dropping €6 . 6M ammunition deal
Liberia,LOCATION,30,37,simple,https://allafrica.com/view/group/main/main/id/00092571.html,allafrica.com,[UNTRANSLATED] High Stakes As Liberia High Court Rules On Legislative Impasse
Liberia High Court,LOCATION,30,48,simple,https://allafrica.com/view/group/main/main/id/00092571.html,allafrica.com,[UNTRANSLATED] High Stakes As Liberia High Court Rules On Legislative Impasse
High Stakes As,PERSON,15,29,simple,https://allafrica.com/view/group/main/main/id/00092571.html,allafrica.com,[UNTRANSLATED] High Stakes As Liberia High Court Rules On Legislative Impasse
Rules On Legislative,PERSON,49,69,simple,https://allafrica.com/view/group/main/main/id/00092571.html,allafrica.com,[UNTRANSLATED] High Stakes As Liberia High Court Rules On Legislative Impasse
Bay Area,LOCATION,66,74,simple,https://datebook.sfchronicle.com/comedy/sf-comedy-fundraiser-immigrants-20297051,datebook.sfchronicle.com,[UNTRANSLATED] S . F . comedy night to benefit legal services for Bay Area immigrant families
Korea,LOCATION,21,26,simple,https://news.webindia123.com/news/Articles/World/20250424/4310216.html,news.webindia123.com,[UNTRANSLATED] South Korea : Former President Moon Jae - in indicted in bribery case involving son - in - law airline job
South Korea,LOCATION,15,26,simple,https://news.webindia123.com/news/Articles/World/20250424/4310216.html,news.webindia123.com,[UNTRANSLATED] South Korea : Former President Moon Jae - in indicted in bribery case involving son - in - law airline job
Former President Moon,PERSON,29,50,simple,https://news.webindia123.com/news/Articles/World/20250424/4310216.html,news.webindia123.com,[UNTRANSLATED] South Korea : Former President Moon Jae - in indicted in bribery case involving son - in - law airline job
Korea,LOCATION,21,26,simple,https://timesofoman.com/article/157251-south-korea-former-president-moon-jae-in-indicted-in-bribery-case-involving-son-in-laws-airline-job,timesofoman.com,[UNTRANSLATED] South Korea : Former President Moon Jae - in indicted in bribery case involving son - in - law airline job
South Korea,LOCATION,15,26,simple,https://timesofoman.com/article/157251-south-korea-former-president-moon-jae-in-indicted-in-bribery-case-involving-son-in-laws-airline-job,timesofoman.com,[UNTRANSLATED] South Korea : Former President Moon Jae - in indicted in bribery case involving son - in - law airline job
Former President Moon,PERSON,29,50,simple,https://timesofoman.com/article/157251-south-korea-former-president-moon-jae-in-indicted-in-bribery-case-involving-son-in-laws-airline-job,timesofoman.com,[UNTRANSLATED] South Korea : Former President Moon Jae - in indicted in bribery case involving son - in - law airline job
Top Global,ORGANIZATION,33,43,simple,https://www.morningstar.com/news/dow-jones/2025042313761/news-highlights-top-global-markets-news-of-the-day-wednesday-at-11-pm-et,morningstar.com,[UNTRANSLATED] News Highlights : Top Global Markets News of the Day - Wednesday at 11 PM ET
News Highlights,PERSON,15,30,simple,https://www.morningstar.com/news/dow-jones/2025042313761/news-highlights-top-global-markets-news-of-the-day-wednesday-at-11-pm-et,morningstar.com,[UNTRANSLATED] News Highlights : Top Global Markets News of the Day - Wednesday at 11 PM ET
