text,type,start,end,method,article_url,article_domain,context
Amazon,ORGANIZATION,15,21,simple,https://www.sudouest.fr:443/economie/amazon-declare-employer-plus-de-25-000-salaries-en-cdi-en-france-24154435.php,sudouest.fr,[UNTRANSLATED] Amazon déclare employer plus de 25 000 salariés en CDI en France
France,LOCATION,73,79,simple,https://www.sudouest.fr:443/economie/amazon-declare-employer-plus-de-25-000-salaries-en-cdi-en-france-24154435.php,sudouest.fr,[UNTRANSLATED] Amazon déclare employer plus de 25 000 salariés en CDI en France
Emmanuel Macron,PERSON,15,30,simple,https://www.diariopanorama.com/noticia/515622/emmanuel-macron-se-inclino-ante-cuerpo-francisco-desato-polemica-francia,diariopanorama.com,[UNTRANSLATED] Emmanuel Macron se inclinó ante el cuerpo de Francisco y desató la polémica en Francia
Emmanuel Macron,PERSON,15,30,simple,https://www.diariopanorama.com/noticia/515622/emmanuel-macron-se-inclina-ante-cuerpo-francisco-desato-polemica-francia,diariopanorama.com,[UNTRANSLATED] Emmanuel Macron se inclinó ante el cuerpo de Francisco y desató la polémica en Francia
Intel,ORGANIZATION,60,65,simple,https://www.finanznachrichten.de/nachrichten-2025-04/65194603-ihre-wichtigsten-termine-alle-blicke-auf-intel-pepsico-pfizer-boeing-nestle-asos-johnson-johnson-049.htm,finanznachrichten.de,"[UNTRANSLATED] Ihre wichtigsten Termine : Alle Blicke auf : Intel , Pepsico , Pfizer , Boeing , Nestle , Asos , Johnson & Johnson"
Pfizer,ORGANIZATION,78,84,simple,https://www.finanznachrichten.de/nachrichten-2025-04/65194603-ihre-wichtigsten-termine-alle-blicke-auf-intel-pepsico-pfizer-boeing-nestle-asos-johnson-johnson-049.htm,finanznachrichten.de,"[UNTRANSLATED] Ihre wichtigsten Termine : Alle Blicke auf : Intel , Pepsico , Pfizer , Boeing , Nestle , Asos , Johnson & Johnson"
Johnson & Johnson,ORGANIZATION,112,129,simple,https://www.finanznachrichten.de/nachrichten-2025-04/65194603-ihre-wichtigsten-termine-alle-blicke-auf-intel-pepsico-pfizer-boeing-nestle-asos-johnson-johnson-049.htm,finanznachrichten.de,"[UNTRANSLATED] Ihre wichtigsten Termine : Alle Blicke auf : Intel , Pepsico , Pfizer , Boeing , Nestle , Asos , Johnson & Johnson"
Boeing,ORGANIZATION,87,93,simple,https://www.finanznachrichten.de/nachrichten-2025-04/65194603-ihre-wichtigsten-termine-alle-blicke-auf-intel-pepsico-pfizer-boeing-nestle-asos-johnson-johnson-049.htm,finanznachrichten.de,"[UNTRANSLATED] Ihre wichtigsten Termine : Alle Blicke auf : Intel , Pepsico , Pfizer , Boeing , Nestle , Asos , Johnson & Johnson"
Alle Blicke,PERSON,42,53,simple,https://www.finanznachrichten.de/nachrichten-2025-04/65194603-ihre-wichtigsten-termine-alle-blicke-auf-intel-pepsico-pfizer-boeing-nestle-asos-johnson-johnson-049.htm,finanznachrichten.de,"[UNTRANSLATED] Ihre wichtigsten Termine : Alle Blicke auf : Intel , Pepsico , Pfizer , Boeing , Nestle , Asos , Johnson & Johnson"
Auch Premier,PERSON,46,58,simple,https://www.spiegel.de/ausland/frankreich-francois-bayrou-auch-premier-tochter-an-katholischer-schule-misshandelt-a-166ae5de-f75c-415b-8ef9-7bbae81e740d,spiegel.de,[UNTRANSLATED] Frankreich – François Bayrou : Auch Premier - Tochter an katholischer Schule misshandelt
Der Duft,PERSON,15,23,simple,https://www.lvz.de/reise/der-duft-des-sommers-die-schoensten-lavendelfeste-in-frankreich-LMTIP5LW6FFWFCZJYKWSIEKRUA.html,lvz.de,[UNTRANSLATED] Der Duft des Sommers : Die schönsten Lavendelfeste in Frankreich
Der Duft,PERSON,15,23,simple,https://www.maz-online.de/reise/der-duft-des-sommers-die-schoensten-lavendelfeste-in-frankreich-LMTIP5LW6FFWFCZJYKWSIEKRUA.html,maz-online.de,[UNTRANSLATED] Der Duft des Sommers : Die schönsten Lavendelfeste in Frankreich
Der Duft,PERSON,15,23,simple,https://www.goettinger-tageblatt.de/reise/der-duft-des-sommers-die-schoensten-lavendelfeste-in-frankreich-LMTIP5LW6FFWFCZJYKWSIEKRUA.html,goettinger-tageblatt.de,[UNTRANSLATED] Der Duft des Sommers : Die schönsten Lavendelfeste in Frankreich
Der Duft,PERSON,15,23,simple,https://www.dnn.de/reise/der-duft-des-sommers-die-schoensten-lavendelfeste-in-frankreich-LMTIP5LW6FFWFCZJYKWSIEKRUA.html,dnn.de,[UNTRANSLATED] Der Duft des Sommers : Die schönsten Lavendelfeste in Frankreich
Der Duft,PERSON,15,23,simple,https://www.kn-online.de/reise/der-duft-des-sommers-die-schoensten-lavendelfeste-in-frankreich-LMTIP5LW6FFWFCZJYKWSIEKRUA.html,kn-online.de,[UNTRANSLATED] Der Duft des Sommers : Die schönsten Lavendelfeste in Frankreich
The News Lens,PERSON,54,67,simple,https://www.thenewslens.com/article/252056,thenewslens.com,[UNTRANSLATED] 法國為教宗降半旗惹議 ， 左翼人士批破壞 「 政教分離 」 原則 - TNL The News Lens 關鍵評論網
