url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry,theme_id,theme_description,target_language,content_hash,keyword
https://www.prnewswire.com/news-releases/tricorbraun-nombra-a-kevin-weadick-como-director-general-y-consejero-delegado-302432613.html,,TricorBraun nombra a Kevin Weadick como director general y consejero delegado,20250422T180000Z,,prnewswire.com,Spanish,United States,,,Spanish,3ada104759530054be525f8516d9fe34,North America
https://www.wallstreet-online.de/nachricht/19258563-lkw-verkaeufe-ruecklaeufig-volvo-group-druck-us-zoelle-belasten-absatz-gewinn,,Lkw - Verkäufe rückläufig : Volvo Group unter Druck : US - Zölle belasten Absatz und Gewinn,20250423T073000Z,https://assets.wallstreet-online.de/_media/22490/size_645/514338302.jpg,wallstreet-online.de,German,Germany,,,German,93bddd830168bca8fba1d8431ba98340,North America
https://www.finanzen.ch/nachrichten/aktien/holcim-aktie-weniger-umsatz-und-betriebsgewinn-im-1-quartal-1034624692,,Holcim - Aktie : Weniger Umsatz und Betriebsgewinn im 1 . Quartal,20250425T071500Z,https://images.finanzen.ch/images/unsortiert/holcim-rud-center-lyon-neu-by-holcim-660.jpg,finanzen.ch,German,Switzerland,,,German,1691d17e62f84548318e43721cc54fca,North America
https://www.finanzen.ch/nachrichten/aktien/holcim-aktie-legt-dennoch-zu-weniger-umsatz-und-betriebsgewinn-im-1-quartal-1034624692,,Holcim - Aktie legt dennoch zu : Weniger Umsatz und Betriebsgewinn im 1 . Quartal,20250425T081500Z,https://images.finanzen.ch/images/unsortiert/holcim-rud-center-lyon-neu-by-holcim-660.jpg,finanzen.ch,German,Switzerland,,,German,1d6600fe88fd6bb9e5b35f9a529f16f1,North America
https://www.tagesschau.de/inland/gesellschaft/kokain-170.html,,BKA - Chef Münch sieht Kokain - Schwemme in Deutschland,20250422T033000Z,https://images.tagesschau.de/image/afd6ee9b-ec7e-4ac0-b58f-2498abc7980f/AAABlg2TJ7M/AAABkZLhkrw/16x9-1280/kokain-151.jpg,tagesschau.de,German,Germany,,,German,d5571091cabb50f589116d1bf7e25993,North America
http://www.soester-anzeiger.de/deutschland-welt/neue-erkenntnisse-zeigen-nordamerikas-unterseite-tropft-zr-93691245.html,,Neue Erkenntnisse zeigen : Nordamerikas Unterseite „ tropft  ,20250423T064500Z,,soester-anzeiger.de,German,Germany,,,German,6d8f7ab1083fe408c7d633d91df91c81,North America
https://www.hoerzu.de/tv-programm/toronto-und-umgebung-von-der-metropole-zu-den-niagarafaellen/bid_196875404/,,Toronto und Umgebung im TV Programm : 25 . 04 . - 21 : 00,20250425T024500Z,,hoerzu.de,German,Germany,,,German,8cd070e8b09c162447af59b5f001d289,North America
https://www.derstandard.at/consent/tcf/story/3000000267104/dinofressendes-riesenkrokodil-war-ein-meister-der-anpassung,,Dinofressendes Riesenkrokodil war ein Meister der Anpassung,20250425T073000Z,https://i.ds.at/qvk6rQ/rs:fill:1200:600/plain/lido-images/2025/04/24/41dab725-313f-469a-905a-7abbd9e91eee.jpeg,derstandard.at,German,Austria,,,German,f2150d06dfbb172586b4082135189870,North America
https://www.deraktionaer.de/artikel/mobilitaet-oel-energie/continental-boeses-omen-fuer-abspaltungsplaene-20378988.html,,Continental : Böses Omen für Abspaltungspläne,20250425T104500Z,https://images.boersenmedien.com/images/0af692ef-7388-4c01-8083-4eae7d8672a8.jpg,deraktionaer.de,German,Germany,,,German,e036fa34af376d1bdb14af7e90471c71,North America
https://www.finanzen.net/nachricht/aktien/audi-produktion-in-den-usa-vw-aktie-fester-vw-wegen-auto-zoellen-im-dialog-mit-us-regierung-14403811,https://www.finanzen.net/amp/audi-produktion-in-den-usa-vw-aktie-fester-vw-wegen-auto-zoellen-im-dialog-mit-us-regierung-14403811,VW - Aktie positiv : Geheimplan gegen Zölle ? Das steckt hinter VWs Gesprächen mit den united states ,20250422T074500Z,https://images.finanzen.net/mediacenter/unsortiert/vw_volkswagen_gl0ck_660_431.jpg,finanzen.net,German,Germany,,,German,84c1fdc861fbead8e78aea4f01c4bb48,North America
https://www.libyaakhbar.com/world-news/2559831.html,,الأهلي المصري يعلن عن أولى مبارياته استعدادا لكأس العالم للأندية 2025,20250422T180000Z,https://www.libyaakhbar.com/wp-content/uploads/2025/04/680767d04236041560586137.jpg,libyaakhbar.com,Arabic,Libya,,,Arabic,4663fac0061e16599df3e3becd5431e4,North America
https://www.alnilin.com/13374209.htm,https://www.alnilin.com/13374209.htm/amp,ترامب : يجب أن تمر السفن الأمريكية من قناتي بنما والسويس مجانا – النيلين,20250427T080000Z,,alnilin.com,Arabic,Sudan,,,Arabic,22e1a9d8f38e437c2e6d7782bd0646ac,North America
